code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.61096752176844,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP
AGU,MMAS,Aguascalients International Airport,21.701416,-102.31374,6118,https://www.aeropuertosgap.com.mx/es/aguascalientes.html,America/Mexico_City,AGU,MX,Penuelas (El Cienegal),Aguascalientes,Aguascalientes,AP
AMS,EHAM,Amsterdam Airport Schiphol,52.32697895,4.741505200022974,36,http://www.schiphol.nl/,Europe/Amsterdam,AMS,NL,Aalsmeer,North Holland,Gemeente Aalsmeer,AP
ATL,KATL,Hartsfield-Jackson Atlanta International Airport,33.63779875,-84.42927118585675,1049,http://www.atlanta-airport.com/,America/New_York,ATL,US,,,,AP
AUA,TNCA,Reina Beatrix International Airport,12.502222,-70.013885,36,,America/Aruba,AUA,AW,Oranjestad,,,AP
AUS,KAUS,Austin-Bergstrom International Airport,30.19348925,-97.66500963529677,505,http://www.ci.austin.tx.us/austinairport/,America/Chicago,AUS,US,Hornsby Bend,Texas,Travis County,AP
AVL,KAVL,Asheville Regional Airport,35.4364233,-82.54088095049624,2119,,America/New_York,AVL,US,Fletcher,North Carolina,Henderson County,AP
AXA,TQPF,Clayton J. Lloyd International Airport,18.2054832,-63.05608188224072,114,http://www.news.ai/ref/airport.html,America/Anguilla,AXA,AI,The Valley,,,AP
BCN,LEBL,Barcelona-El Prat Airport,41.29694395,2.0790473629813215,22,http://www.aena.es/en/barcelona-airport/index.html,Europe/Madrid,BCN,ES,El Prat de Llobregat,Catalonia,Provincia de Barcelona,AP
BDA,TXKF,L.F. Wade International Airport,32.3616236,-64.66575513844553,19,http://www.bermudaairport.com/,Atlantic/Bermuda,BDA,BM,,,,AP
BDL,KBDL,Bradley International Airport,41.9405835,-72.68501994264602,173,http://www.bradleyairport.com/,America/New_York,BDL,US,Windsor Locks,Connecticut,Hartford County,AP
BGI,TBPB,Grantley Adams International Airport,13.077278799999998,-59.48794597973022,167,http://www.gaia.bb/content/about-gaia-inc,America/Barbados,BGI,BB,,,,AP
BHM,KBHM,Birmingham-Shuttlesworth International Airport,33.5635078,-86.75154126864663,603,http://www.flybirmingham.com/,America/Chicago,BHM,US,Tarrant,Alabama,Jefferson County,AP
BJX,MMLO,Guanajuato International Airport,20.9934103,-101.48120076520438,5925,,America/Mexico_City,BJX,MX,Colonia Nuevo Mexico,Guanajuato,,AP
BNA,KBNA,Nashville International Airport,36.11958985,-86.68308703291842,583,http://www.flynashville.com/,America/Chicago,BNA,US,Nashville,Tennessee,Davidson County,AP
BOG,SKBO,El Dorado International Airport,4.7028947500000005,-74.1487499180044,8382,,America/Bogota,BOG,CO,Funza,Cundinamarca,,AP
BOI,KBOI,Boise Air Terminal (Gowen Field),43.569263,-116.22193,2860,http://www.cityofboise.org/departments/airport/,America/Boise,BOI,US,Boise,Idaho,Ada County,AP
BON,TNCB,Flamingo International Airport,12.133403,-68.27687,55,,America/Kralendijk,BON,BQ,Dorp Tera Kora,Bonaire,,AP
BOS,KBOS,Logan International Airport,42.3629737,-71.01350667543224,29,http://www.massport.com/logan/,America/New_York,BOS,US,Chelsea,Massachusetts,Suffolk County,AP
BUF,KBUF,Buffalo Niagara International Airport,42.9402016,-78.73075229745353,698,http://www.buffaloairport.com,America/New_York,BUF,US,Williamsville,New York,Erie County,AP
BUR,KBUR,Bob Hope Airport,34.2031703,-118.35917241746948,682,http://www.burbankairport.com/,America/Los_Angeles,BUR,US,North Hollywood,California,Los Angeles County,AP
BZE,MZBZ,Philip S.W. Goldson International Airport,17.5392339,-88.30483122697225,22,http://www.pgiabelize.com/,America/Belize,BZE,BZ,,,,AP
CCS,SVMI,Simon Bolivar International Airport,10.60316215,-66.99667670060362,209,http://www.aeropuerto-maiquetia.com.ve/web/,America/Caracas,CCS,VE,Catia La Mar,Vargas,,AP
CDG,LFPG,Charles de Gaulle Airport,49.0068908,2.5710819691019156,337,http://www.aeroportsdeparis.fr/,Europe/Paris,PAR,FR,,,,AP
CHS,KCHS,Charleston International Airport,32.89929845,-80.03946503050427,42,,America/New_York,CHS,US,Hanahan,South Carolina,Berkeley County,AP
CLE,KCLE,Cleveland Hopkins International Airport,41.406618550000005,-81.85120214358412,761,http://www.clevelandairport.com/,America/New_York,CLE,US,Brook Park,Ohio,Cuyahoga County,AP
CLT,KCLT,Charlotte Douglas International Airport,35.21074145,-80.9457435226013,685,http://www.charlotteairport.com/,America/New_York,CLT,US,,,,AP
CMH,KCMH,John Glenn Columbus International Airport,39.99705605,-82.89304061484347,803,https://flycolumbus.com/,America/New_York,CMH,US,Gahanna,Ohio,Franklin County,AP
COS,KCOS,Colorado Springs Airport,38.8004299,-104.70327708699932,6131,https://flycos.coloradosprings.gov/,America/Denver,COS,US,Security-Widefield,Colorado,El Paso County,AP
CUN,MMUN,Cancun International Airport,21.0407394,-86.8818149087711,72,http://www.asur.com.mx/asur/ingles/aeropuertos/cancun/cancun.asp,America/Cancun,CUN,MX,Alfredo V. Bonfil,Quintana Roo,,AP
CUR,TNCC,Curacao International Airport,12.1890286,-68.96216089958281,13,,America/Curacao,CUR,CW,Sint Michiel Liber,,,AP
CVG,KCVG,Cincinnati/Northern Kentucky Airport,39.0555,-84.66145,866,http://www.cvgairport.com,America/New_York,CVG,US,Hebron,Kentucky,Boone County,AP
CZM,MMCZ,Cozumel Airport,20.52296195,-86.92943828095508,26,http://www.asur.com.mx/,America/Cancun,CZM,MX,San Miguel de Cozumel,Quintana Roo,,AP
DCA,KDCA,Ronald Reagan National Airport,38.853436,-77.04346,52,http://www.flyreagan.com/dca/reagan-national-airport,America/New_York,WAS,US,,,,AP
DEN,KDEN,Denver International Airport,39.8606676,-104.68536732610298,5347,http://www.flydenver.com/,America/Denver,DEN,US,Lochbuie,Colorado,Weld County,AP
DFW,KDFW,Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,574,https://www.dfwairport.com/,America/Chicago,DFW,US,Grapevine,Texas,Tarrant County,AP
DSM,KDSM,Des Moines International Airport,41.534256,-93.65927182349738,941,http://www.dsmairport.com/,America/Chicago,DSM,US,Norwalk,Iowa,Warren County,AP
DTW,KDTW,Detroit Metropolitan Wayne County Airport,42.205699100000004,-83.35297537621658,636,http://www.metroairport.com/,America/Detroit,DTT,US,Romulus,Michigan,Wayne County,AP
DUB,EIDW,Dublin Airport,53.4288026,-6.247592522077657,246,http://www.dublinairport.com/,Europe/Dublin,DUB,IE,Beaumont,Leinster,,AP
EIS,TUPJ,Terrance B. Lettsome International Airport,18.4457823,-64.53946733632488,26,http://www.bareboatsbvi.com/beef_island.html,America/Tortola,EIS,VG,,,,AP
ELH,MYEH,North Eleuthera International Airport,25.4760797,-76.6811753569954,26,,America/Nassau,ELH,BS,,,,AP
ELP,KELP,El Paso International Airport,31.8092748,-106.36664263248113,3963,,America/Denver,ELP,US,Fort Bliss,Texas,El Paso County,AP
EYW,KEYW,Key West International Airport,24.5554773,-81.75961603475078,16,,America/New_York,EYW,US,Stock Island,Florida,Monroe County,AP
EZE,SAEZ,Ministro Pistarini Airport,-34.81681415,-58.54742335052262,65,http://www.aa2000.com.ar/index.php,America/Argentina/Buenos_Aires,BUE,AR,Ezeiza,Buenos Aires,Partido de Ezeiza,AP
FAT,KFAT,Fresno Yosemite International Airport,36.776006,-119.71974456209355,285,https://flyfresno.com/,America/Los_Angeles,FAT,US,Sunnyside,California,Fresno County,AP
FCO,LIRF,Leonardo da Vinci-Fiumicino Airport,41.8144309,12.226901204880779,32,http://www.adr.it/portal/portal/adr/Fiumicino/Leonardo_da_vinci/Header_Window?action=2,Europe/Rome,ROM,IT,Fiumicino-Isola Sacra,Latium,Citta metropolitana di Roma Capitale,AP
FLL,KFLL,Fort Lauderdale-Hollywood International Airport,26.072017000000002,-80.15099673135214,45,http://www.broward.org/airport,America/New_York,FLL,US,,,,AP
FPO,MYGF,Grand Bahama International Airport,26.556512750000003,-78.6955864137168,55,,America/Nassau,FPO,BS,Freeport,Freeport,,AP
FRA,EDDF,Frankfurt Airport,50.0229437,8.524938151916214,213,http://www.frankfurt-airport.de/,Europe/Berlin,FRA,DE,Kelsterbach,Hesse,,AP
GCM,MWCR,Owen Roberts International Airport,19.292621150000002,-81.35854363791051,32,,America/Cayman,GCM,KY,George Town,,,AP
GDL,MMGL,Don Miguel Hidal Y Costilla International Airport,20.525198,-103.29921,5009,,America/Mexico_City,GDL,MX,El Quince,Jalisco,,AP
GEG,KGEG,Spokane International Airport,47.620044050000004,-117.54236665513882,2342,http://www.spokaneairports.net/,America/Los_Angeles,GEG,US,Airway Heights,Washington,Spokane County,AP
GGT,MYEF,Exuma International Airport,23.5624053,-75.87650228984003,42,,America/Nassau,GGT,BS,George Town,Exuma,,AP
GIG,SBGL,Galeao Antonio Carlos Jobim International Airport,-22.81122025,-43.258620204081936,32,,America/Sao_Paulo,RIO,BR,Duque de Caxias,Rio de Janeiro,Duque De Caxias,AP
GND,TGPY,Maurice Bishop International Airport,12.0047984,-61.78567212577312,29,http://www.psiagrenada.com/,America/Grenada,GND,GD,Saint George's,Saint George,,AP
GRU,SBGR,Sao Paulo-Guarulhos International Airport,-23.43779495,-46.481320528800595,2460,http://www.infraero.gov.br/,America/Sao_Paulo,SAO,BR,Guarulhos,Sao Paulo,Guarulhos,AP
GSO,KGSO,Piedmont Triad International Airport,36.1031477,-79.94356850477837,889,,America/New_York,GSO,US,Oak Ridge,North Carolina,Guilford County,AP
GSP,KGSP,Greenville-Spartanburg International Airport,34.8954456,-82.21722845651891,948,,America/New_York,GSP,US,Greer,South Carolina,Greenville County,AP
GUA,MGGT,La Aurora International Airport,14.58331705,-90.52716040808703,4872,,America/Guatemala,GUA,GT,Santa Catarina Pinula,Guatemala,,AP
GYE,SEGU,Jose Joaquin de Olmedo Airport,-2.142654,-79.88032,36,,America/Guayaquil,GYE,EC,Eloy Alfaro,Guayas,,AP
HMO,MMHO,Gen Pesqueira Garcia Airport,29.09210995,-111.05463682353957,616,,America/Hermosillo,HMO,MX,Hermosillo,Sonora,,AP
HOU,KHOU,William P. Hobby Airport,29.64714905,-95.27692608634595,49,http://www.fly2houston.com/hobbyHome,America/Chicago,HOU,US,,,,AP
HSV,KHSV,Huntsville International Airport,34.63699305,-86.76383388377238,583,http://www.flyhuntsville.com/portal/#.VbaG-_lVhBc,America/Chicago,HSV,US,Madison,Alabama,Madison County,AP
IAH,KIAH,George Bush Intercontinental Airport,29.9841416,-95.33298595614491,88,http://www.fly2houston.com/iah,America/Chicago,HOU,US,Houston,Texas,Harris County,AP
ICT,KICT,Wichita Dwight D. Eisenhower National Airport,37.65333905,-97.43088979155792,1338,,America/Chicago,ICT,US,Wichita,Kansas,Sedgwick County,AP
ILM,KILM,Wilmington International Airport,34.26664065,-77.90994125738278,49,,America/New_York,ILM,US,Wrightsboro,North Carolina,New Hanover County,AP
IND,KIND,Indianapolis International Airport,39.7162533,-86.29508388539975,797,http://www.indianapolisairport.com/,America/Indiana/Indianapolis,IND,US,Speedway,Indiana,Marion County,AP
JAC,KJAC,Jackson Hole Airport,43.6087926,-110.73803248494762,6469,,America/Denver,JAC,US,Jackson,Wyoming,Teton County,AP
JAX,KJAX,Jacksonville International Airport,30.4947303,-81.6924513519536,19,http://www.jaa.aero/,America/New_York,JAX,US,Nassau Village-Ratliff,Florida,Nassau County,AP
JFK,KJFK,John F. Kennedy International Airport,40.642947899999996,-73.7793733748521,45,https://www.jfkairport.com/,America/New_York,NYC,US,Inwood,New York,Nassau County,AP
KIN,MKJP,Norman Manley International Airport,17.93556065,-76.78098090118962,10,,America/Jamaica,KIN,JM,,,,AP
LAS,KLAS,McCarran International Airport,36.0861034,-115.16111989849915,2181,http://www.mccarran.com/,America/Los_Angeles,LAS,US,,,,AP
LAX,KLAX,Los Angeles International Airport,33.94216754999999,-118.42139298414197,125,https://www.flylax.com/,America/Los_Angeles,LAX,US,El Segundo,California,Los Angeles County,AP
LGA,KLGA,LaGuardia Airport,40.7757145,-73.87336398511545,21,https://www.laguardiaairport.com/,America/New_York,NYC,US,The Bronx,New York,Bronx,AP
LGB,KLGB,Long Beach Airport,33.815565899999996,-118.15342922166721,60,http://www.lgb.org/,America/Los_Angeles,LGB,US,Signal Hill,California,Los Angeles County,AP
LHR,EGLL,London Heathrow Airport,51.46773895,-0.4587800741571181,83,http://www.heathrowairport.com/,Europe/London,LON,GB,West Drayton,England,Greater London,AP
LIM,SPJC,Jorge Chavez International Airport,-12.02178305,-77.11123822674789,113,http://www.lap.com.pe/,America/Lima,LIM,PE,Callao,Callao,Callao,AP
LIT,KLIT,Bill and Hillary Clinton National Airport,34.727432,-92.221375,262,,America/Chicago,LIT,US,North Little Rock,Arkansas,Pulaski County,AP
LSE,KLSE,La Crosse Regional Airport,43.878607,-91.25557153542314,587,http://www.lseairport.com/,America/Chicago,LSE,US,French Island,Wisconsin,La Crosse County,AP
MAD,LEMD,Adolfo Suarez Madrid-Barajas Airport,40.4948384,-3.5740806206811313,1955,http://www.aena.es/en/passengers/passengers.html,Europe/Madrid,MAD,ES,Barajas de Madrid,Madrid,Provincia de Madrid,AP
MAR,SVMC,La Chinita Airport,10.557807100000002,-71.7254962784662,187,,America/Caracas,MAR,VE,San Francisco,Zulia,Municipio San Francisco,AP
MBJ,MKJS,Sangster International Airport,18.502925949999998,-77.91388740287721,22,,America/Jamaica,MBJ,JM,Montego Bay,Saint James,,AP
